SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100019,5832096,Active,currency 1,-495,0,419,-738,0,0,450000,245470.14,0,0,Consumer credit,-7,27000
100020,6093292,Active,currency 1,-90,0,277,-738,0,0,135000,117243,0,0,Consumer credit,-28,27000
100020,6093289,Closed,currency 1,-492,0,-311,-311,0,0,19125,0,0,0,Consumer credit,-310,27000
100020,6093290,Closed,currency 1,-288,0,-104,-135,0,0,29160,0,0,0,Consumer credit,-133,27000
100020,6093291,Active,currency 1,-176,0,8,-135,0,0,16200,5845.5,0,0,Consumer credit,-52,27000
100022,6795607,Active,currency 1,-289,0,441,-135,0,0,292500,205276.5,0,0,Consumer credit,-38,27000
100022,6795608,Active,currency 1,-385,0,1439,-135,0,0,765000,205276.5,0,0,Consumer credit,-18,27000
100023,6296136,Closed,currency 1,-2624,0,-2228,-2287,2182.5,0,22500,0,0,0,Consumer credit,-2287,27000
100023,6296137,Active,currency 1,-2370,0,-1250,-2335,0,0,45000,0,0,0,Credit card,-635,27000
100023,6296140,Active,currency 1,-984,0,60,-2335,0,0,45000,41881.5,0,0,Credit card,-34,27000
100023,6296141,Active,currency 1,-1054,0,773,-2335,0,0,123637.5,70443,0,0,Consumer credit,-34,27000
100023,6296142,Closed,currency 1,-1507,0,-1265,-1265,0,0,52483.5,70443,0,0,Consumer credit,-1265,27000
100023,6296143,Closed,currency 1,-1269,0,-871,-871,0,0,63751.5,24714,0,0,Consumer credit,-871,27000
100023,6296144,Closed,currency 1,-994,0,-810,-810,0,0,93591,0,0,0,Credit card,-810,27000
100023,6296146,Closed,currency 1,-753,0,-810,-508,0,0,225000,0,0,0,Credit card,-508,27000
100023,6296147,Closed,currency 1,-508,0,1318,-138,0,0,221121,0,0,0,Consumer credit,-135,27000
100023,6296148,Active,currency 1,-157,0,1669,-138,0,0,444078,0,0,0,Consumer credit,-5,27000
100023,6296149,Closed,currency 1,-810,0,-157,-157,5980.05,0,229591.845,0,0,0,Consumer credit,-157,27000
100026,5103096,Active,currency 1,-245,0,1581,-157,5980.05,0,2700000,2542576.5,0,0,Consumer credit,-23,27000
100026,5103097,Closed,currency 1,-1644,0,1581,-916,5980.05,0,1575000,2542576.5,0,0,Consumer credit,-914,27000
100026,5103098,Active,currency 1,-148,0,217,-916,0,0,1350000,935237.88,0,0,Microloan,-7,27000
100027,5904153,Closed,currency 1,-1983,0,-1649,-1675,5130,0,40297.5,0,0,0,Consumer credit,-1675,27000
100027,5904154,Active,currency 1,-143,0,944,-1675,5130,0,427500,376713,0,0,Consumer credit,-3,27000
100027,5904155,Closed,currency 1,-253,0,-130,-130,0,0,157500,0,0,0,Consumer credit,-124,27000
100028,6356879,Closed,currency 1,-992,0,-452,-845,0,0,43024.5,0,0,0,Consumer credit,-563,27000
100028,6356880,Active,currency 1,-1805,0,-1105,-845,0,0,0,0,0,0,Credit card,-54,27000
100028,6356881,Closed,currency 1,-2105,0,-1862,-1836,0,0,31630.5,0,0,0,Consumer credit,-1027,0
100028,6356882,Closed,currency 1,-1924,0,-1375,-1375,0,0,130257,0,0,0,Consumer credit,-1001,0
100028,6356883,Active,currency 1,-1821,0,30885,-1375,0,0,162000,7713,0,0,Credit card,-913,1624.5
100028,6356884,Active,currency 1,-307,0,935,-1375,0,0,180000,151015.5,0,0,Credit card,-141,1624.5
100028,6356885,Closed,currency 1,-2104,0,-1862,-1862,0,0,31630.5,0,0,0,Consumer credit,-1564,0
100028,6356886,Closed,currency 1,-1923,0,-1375,-1375,0,0,130261.5,0,0,0,Consumer credit,-1102,0
100028,6356887,Active,currency 1,-1050,0,776,-1375,0,0,393750,0,0,0,Consumer credit,-66,6562.485
100028,6356888,Closed,currency 1,-1419,0,-688,-688,0,0,183600,0,0,0,Consumer credit,-685,6562.485
100028,6356889,Active,currency 1,-269,0,-688,-688,0,0,128971.08,27576,101390.76,0,Credit card,-20,12897.09
100028,6356890,Closed,currency 1,-1102,0,-688,-687,0,0,105750,0,0,0,Credit card,-682,12897.09
100029,5460403,Closed,currency 1,-1376,0,-1286,-1266,0,0,24016.5,0,0,0,Consumer credit,-804,12897.09
100029,5460404,Closed,currency 1,-2806,0,1563,-2064,0,0,3645000,0,0,0,Mortgage,-2064,12897.09
100029,5460405,Closed,currency 1,-1375,0,-1286,-1294,0,0,24016.5,0,0,0,Consumer credit,-1282,12897.09
100029,5460406,Active,currency 1,-110,0,-1286,-1294,0,0,3735000,3682287,0,0,Mortgage,-17,12897.09
100030,6584419,Closed,currency 1,-1547,0,238,-418,0,0,0,0,0,0,Credit card,-363,12897.09
100030,6584420,Closed,currency 1,-1265,0,-1173,-1173,0,0,21975.57,0,0,0,Consumer credit,-1173,12897.09
100030,6584421,Active,currency 1,-1053,0,-1173,-1173,0,0,45000,19341,25656.03,0,Credit card,-9,12897.09
100030,6584423,Closed,currency 1,-462,0,-127,-127,0,0,49455,0,0,0,Consumer credit,-125,12897.09
100030,6584424,Active,currency 1,-418,0,1409,-127,0,0,508500,432301.5,0,0,Consumer credit,-19,12897.09
100030,6584422,Closed,currency 1,-840,0,-655,-778,0,0,18500.4,0,0,0,Consumer credit,-778,12897.09
100031,6187667,Active,currency 1,-180,0,-655,-778,0,0,90000,0,0,0,Credit card,-9,12897.09
100032,5038523,Closed,currency 1,-951,0,-586,-586,0,0,152910,0,0,0,Consumer credit,-585,17437.5
100032,5038524,Closed,currency 1,-1389,0,-662,-662,0,0,454500,0,0,0,Consumer credit,-652,17437.5
100032,5038525,Closed,currency 1,-1388,0,-662,-662,0,0,454500,0,0,0,Consumer credit,-456,17437.5
100032,5038526,Active,currency 1,-556,0,-191,-662,0,0,209250,0,0,0,Consumer credit,-54,17437.5
100033,5943236,Active,currency 1,-195,0,913,-662,0,0,675000,0,0,0,Credit card,-169,17437.5
100035,5407251,Active,currency 1,-387,0,-152,-662,0,0,225000,204709.5,0,0,Credit card,-58,17437.5
100037,5837511,Closed,currency 1,-1994,0,-1871,-1896,0,0,54900,0,0,0,Consumer credit,-1695,0
100037,5837512,Closed,currency 1,-1552,0,-1369,-1361,0,0,55242,0,0,0,Consumer credit,-929,0
100037,5837513,Closed,currency 1,-1247,0,-1063,-1094,0,0,78907.5,0,0,0,Consumer credit,-1094,0
100037,5837514,Closed,currency 1,-1552,0,-1370,-1492,0,0,66478.5,0,0,0,Consumer credit,-1492,0
100037,5837515,Closed,currency 1,-1551,0,-1369,-1369,0,0,55242,0,0,0,Consumer credit,-1274,0
100037,5837516,Active,currency 1,-1467,0,-1369,-1369,0,0,108000,0,0,0,Credit card,-994,0
100037,5837517,Closed,currency 1,-2379,0,-2225,-2252,0,0,90000,0,0,0,Consumer credit,-2243,0
100037,6630331,Closed,currency 1,-2761,0,-2608,-2636,0,0,83362.5,0,0,0,Consumer credit,-2636,0
100039,5153442,Active,currency 1,-91,0,1379,-2636,0,0,0,0,0,0,Credit card,-28,0
100039,5153444,Closed,currency 1,-1485,0,-1406,-1406,0,0,69970.5,0,0,0,Consumer credit,-1406,0
100039,5153445,Closed,currency 1,-846,0,-788,-788,0,0,32008.5,0,0,0,Consumer credit,-788,0
100039,5153446,Closed,currency 1,-557,0,-466,-466,0,0,420867,0,0,0,Car loan,-455,0
100039,5153447,Closed,currency 1,-584,0,-466,-399,0,0,4500,0,0,0,Consumer credit,-399,0
100039,5153448,Closed,currency 1,-465,0,1256,-123,0,0,0,0,0,0,Credit card,-123,0
100039,5153449,Sold,currency 1,-1206,0,-980,-123,0,0,945000,0,0,0,Car loan,-109,0
100039,5153450,Active,currency 1,-90,0,641,-123,0,0,675000,608319,0,0,Consumer credit,-21,0
100042,5574780,Closed,currency 1,-2723,0,-1627,-1931,0,0,675000,0,0,0,Consumer credit,-1082,0
100042,5574781,Closed,currency 1,-2723,0,-1627,-1931,0,0,675000,0,0,0,Consumer credit,-1569,0
100044,5057753,Closed,currency 1,-2729,0,-1624,-1781,0,0,225000,0,0,0,Credit card,-1781,0
100044,5057755,Closed,currency 1,-2480,0,-1779,-1808,7425,0,106134.12,0,0,0,Consumer credit,-1808,0
100044,5057756,Active,currency 1,-1827,0,660,-1808,18406.935,0,135000,-130.005,418630.005,0,Credit card,-651,0
100044,5057757,Active,currency 1,-1739,0,1178,-1808,1125,0,22500,-78.885,247578.885,0,Credit card,-654,0
100044,5057758,Active,currency 1,-403,0,509,-1808,14310,0,279859.5,261509.49,0,0,Consumer credit,-218,0
100044,5057759,Active,currency 1,-948,0,416,-1808,14310,0,180000,173709,0,0,Credit card,-70,0
100044,5057760,Active,currency 1,-773,0,1053,-1808,14310,0,900000,648292.5,0,0,Consumer credit,-11,0
100044,5057761,Closed,currency 1,-1634,0,-1486,-970,14310,0,360000,648292.5,0,0,Consumer credit,-967,0
100044,5057763,Active,currency 1,-83,0,648,-970,0,0,67500,64462.5,0,0,Consumer credit,-18,0
100049,5244757,Active,currency 1,-1052,0,-505,-970,0,0,84816,10890,0,0,Consumer credit,-516,0
100049,5244759,Active,currency 1,-568,0,518,-970,0,0,414000,383112,0,0,Credit card,-8,0
100049,5244760,Closed,currency 1,-2179,0,-1469,-1469,0,0,141480,383112,0,0,Credit card,-1469,0
100049,5244761,Active,currency 1,-27,0,340,-1469,0,0,21375,21865.5,0,0,Consumer credit,-18,0
100049,5244762,Closed,currency 1,-799,0,-554,-554,0,0,32576.85,0,0,0,Consumer credit,-550,0
100049,5244763,Active,currency 1,-700,0,-554,-554,0,0,45000,36180,8819.235,0,Credit card,-32,0
100050,6363403,Closed,currency 1,-2702,0,-2305,-2334,0,0,157282.38,0,8819.235,0,Consumer credit,-872,0
100050,6363404,Closed,currency 1,-2679,0,-2295,-2357,0,0,135459,0,0,0,Consumer credit,-2315,0
100050,6363405,Closed,currency 1,-694,0,189,-145,0,0,450000,0,0,0,Consumer credit,-135,0
100053,5723577,Closed,currency 1,-1764,0,-648,-648,0,0,135000,0,0,0,Consumer credit,-644,0
100053,5723578,Active,currency 1,-2338,0,-1958,-648,0,0,48820.5,0,0,0,Consumer credit,-1945,0
100053,5723579,Closed,currency 1,-2688,0,-2534,-2551,0,0,26919,0,0,0,Consumer credit,-1723,0
100053,5723580,Closed,currency 1,-2893,0,-2534,-1588,0,0,0,0,0,0,Credit card,-1588,0
100053,5723581,Closed,currency 1,-2639,0,-2496,-2496,0,0,77850,0,0,0,Credit card,-729,0
100053,5723582,Closed,currency 1,-1925,0,-832,-707,0,0,225000,0,0,0,Consumer credit,-704,0
100053,5723583,Closed,currency 1,-1767,0,-648,-630,0,0,135000,0,0,0,Consumer credit,-630,0
100054,5727772,Closed,currency 1,-1483,0,-1115,-1114,0,0,48600,0,0,0,Consumer credit,-1114,0
100054,5727773,Active,currency 1,-1138,0,-772,-1114,0,0,56092.5,0,0,0,Consumer credit,-42,0
100055,5827033,Closed,currency 1,-958,0,-806,-806,0,0,119025,0,0,0,Consumer credit,-759,0
100055,5827032,Closed,currency 1,-913,0,-792,-790,0,0,48150,0,0,0,Consumer credit,-789,0
100055,5827034,Closed,currency 1,-2202,0,-378,-370,0,0,450000,0,0,0,Consumer credit,-367,0
100055,5827035,Active,currency 1,-350,0,-378,-370,0,0,103500,0,0,0,Credit card,-62,0
100055,5827036,Active,currency 1,-350,0,746,-370,0,0,669240,0,0,0,Consumer credit,-13,0
100055,5827037,Active,currency 1,-1204,0,623,-370,0,0,1370254.5,1210297.5,0,0,Car loan,-13,0
100055,5827038,Active,currency 1,-161,0,145,-370,0,0,66562.515,34140.555,0,0,Consumer credit,-13,0
100057,5004963,Closed,currency 1,-349,0,-44,-134,0,0,52933.5,0,0,0,Consumer credit,-99,5917.5
100057,5004964,Closed,currency 1,-1511,0,5813,-426,0,0,2268000,0,0,0,Mortgage,-185,0
100057,5004965,Closed,currency 1,-337,0,-44,-134,0,0,52933.5,0,0,0,Consumer credit,-106,5917.5
100057,5004966,Closed,currency 1,-787,0,676,-443,0,0,242514,0,0,0,Car loan,-443,5917.5
100057,5004967,Closed,currency 1,-1542,0,-863,-863,0,0,81219.6,0,0,0,Consumer credit,-858,5917.5
100057,6400405,Active,currency 1,-1463,0,-863,-863,0,0,164250,0,0,0,Credit card,-1089,0
100057,6400406,Closed,currency 1,-2623,0,-2530,-2530,0,0,22909.5,0,0,0,Consumer credit,-2529,0
100058,6552703,Closed,currency 1,-650,0,-378,-172,0,0,90000,0,0,0,Credit card,-169,0
100058,6552704,Closed,currency 1,-2536,0,-709,-758,0,0,450000,0,0,0,Consumer credit,-562,0
100058,6552705,Active,currency 1,-790,0,284,-758,0,0,135000,127777.5,0,0,Credit card,-18,0
100058,6552706,Active,currency 1,-223,0,31087,-758,0,0,135000,130819.5,0,0,Credit card,-18,0
100059,6798301,Closed,currency 1,-764,0,-522,-610,0,0,87066,0,0,0,Consumer credit,-608,0
100059,6798302,Active,currency 1,-447,0,638,-610,0,0,1624500,980784,0,0,Car loan,-12,0
100059,6798303,Closed,currency 1,-194,0,-102,-102,0,0,75872.7,0,0,0,Consumer credit,-100,49986
100059,6798304,Closed,currency 1,-1343,0,-612,-642,17087.94,0,315000,0,0,0,Consumer credit,-642,0
100059,6744278,Closed,currency 1,-449,0,-174,-174,17087.94,0,55030.5,0,0,0,Consumer credit,-171,0
100061,6830335,Closed,currency 1,-924,0,-738,-771,17087.94,0,37741.5,0,0,0,Consumer credit,-426,0
100062,6348204,Closed,currency 1,-306,0,273,-274,17087.94,0,127626.12,0,0,0,Consumer credit,-270,0
100063,5680685,Active,currency 1,-381,0,1280,-274,17087.94,0,0,0,0,0,Credit card,-14,0
100063,5680682,Closed,currency 1,-384,0,-19,-353,17087.94,0,112896,0,0,0,Consumer credit,-260,0
100063,5680683,Active,currency 1,-381,0,1280,-353,17087.94,0,0,0,0,0,Credit card,-14,0
100063,5680684,Active,currency 1,-381,0,746,-353,17087.94,0,900000,705651.345,0,0,Consumer credit,-13,0
100063,5680686,Closed,currency 1,-2781,0,-2446,-2474,17087.94,0,57906,0,0,0,Consumer credit,-857,0
100063,5680687,Closed,currency 1,-2909,0,-1934,-1932,17087.94,0,873000,0,0,0,Car loan,-1927,0
100063,5680688,Closed,currency 1,-2565,0,-1835,-1952,17087.94,0,135000,0,0,0,Consumer credit,-1952,0
100063,5680689,Closed,currency 1,-248,0,848,-241,17087.94,0,585000,0,0,0,Credit card,-226,0
100063,5680690,Closed,currency 1,-354,0,-98,-98,17087.94,0,18000,0,0,0,Credit card,-96,0
100063,5680691,Closed,currency 1,-1275,0,-1123,-1160,17087.94,0,13680,0,0,0,Consumer credit,-1159,13761
100063,5680692,Closed,currency 1,-1326,0,-230,-249,17087.94,0,108000,0,0,0,Credit card,-247,12019.5
100063,5680693,Closed,currency 1,-1348,0,-252,-362,17087.94,0,494505,0,0,0,Consumer credit,-359,0
100063,5680694,Closed,currency 1,-1806,0,-1075,-1316,17087.94,0,180000,0,0,0,Consumer credit,-1315,0
100063,5680695,Active,currency 1,-1011,0,11,-1316,17087.94,0,40500,29988,0,0,Credit card,-4,0
100063,5680696,Active,currency 1,-266,0,915,-1316,17087.94,0,180000,169758,0,0,Credit card,-171,0
100063,5680697,Active,currency 1,-238,0,858,-1316,17087.94,0,585000,479065.5,0,0,Credit card,-9,0
100063,5680698,Closed,currency 1,-2497,0,-303,-915,17087.94,0,202500,479065.5,0,0,Credit card,-914,14232.51
100063,5680699,Active,currency 1,-266,0,708,-915,2502,0,520344,267426,0,0,Consumer credit,-10,14232.51
100066,5790310,Closed,currency 1,-463,0,1363,-323,2502,0,450000,0,0,0,Consumer credit,-310,0
100066,5790311,Closed,currency 1,-674,0,1152,-307,2502,0,297000,0,0,0,Consumer credit,-188,0
100066,5790312,Active,currency 1,-491,0,873,-307,2502,0,202500,181687.5,0,0,Credit card,-201,0
100067,5828816,Closed,currency 1,-763,0,30886,-118,2502,0,0,0,0,0,Credit card,-60,0
100067,5828817,Closed,currency 1,-877,0,-543,-724,2502,0,27094.5,0,0,0,Consumer credit,-721,0
100067,5828818,Closed,currency 1,-555,0,-220,-256,2502,0,48559.5,0,0,0,Consumer credit,-253,0
100067,5828819,Closed,currency 1,-392,0,-27,-147,2502,0,27774,0,0,0,Consumer credit,-115,0
100067,5828820,Closed,currency 1,-592,0,-257,-408,2502,0,20655,0,0,0,Consumer credit,-398,0
100067,5828821,Closed,currency 1,-1628,0,198,-164,2502,0,1260000,0,0,0,Consumer credit,-160,0
100067,5828822,Closed,currency 1,-309,0,-180,-169,2502,0,67500,0,0,0,Credit card,-167,0
100067,5828823,Closed,currency 1,-539,0,-419,-373,2502,0,126000,0,0,0,Credit card,-370,0
100067,5828824,Active,currency 1,-57,0,126,-373,2502,0,19980,16879.5,0,0,Consumer credit,-13,0
100067,5828825,Active,currency 1,-423,0,308,-373,2502,0,284310,147406.5,0,0,Consumer credit,-58,11961
100067,5828826,Active,currency 1,-897,0,308,-373,2502,0,90000,147406.5,0,0,Credit card,-568,0
100067,5828827,Closed,currency 1,-200,0,308,-161,2502,0,112500,147406.5,0,0,Credit card,-150,0
100067,5828828,Closed,currency 1,-386,0,-27,-147,2502,0,27774,0,0,0,Consumer credit,-147,2835
100067,5828829,Active,currency 1,-143,0,951,-147,0,0,753750,711369,0,0,Consumer credit,-40,20937.51
100067,5828830,Active,currency 1,-190,0,951,-147,0,0,317250,301315.5,15932.25,0,Credit card,-30,31725
100067,5828831,Closed,currency 1,-543,0,-176,-330,0,0,53955,0,0,0,Consumer credit,-330,31725
100067,5828832,Closed,currency 1,-1358,0,9600,-906,0,0,0,0,0,0,Credit card,-906,31725
100068,5086751,Closed,currency 1,-2380,0,9600,-2020,0,0,90000,0,0,0,Consumer credit,-2020,31725
100068,5086752,Closed,currency 1,-816,0,9600,-538,0,0,4500,0,0,0,Consumer credit,-538,31725
100068,5086753,Closed,currency 1,-2529,0,-1798,-1455,5912.865,0,120430.8,0,0,0,Consumer credit,-1455,31725
100068,5086754,Closed,currency 1,-1365,0,-1059,-1059,0,0,36823.14,0,0,0,Consumer credit,-1059,31725
100068,5086755,Active,currency 1,-400,0,1426,-1059,0,0,900000,799038,0,0,Consumer credit,-35,31725
100071,5132447,Closed,currency 1,-2258,0,-1977,-1977,0,0,126000,0,0,0,Consumer credit,-594,31725
100071,5132448,Closed,currency 1,-1592,0,-861,-861,0,0,184500,0,0,0,Consumer credit,-593,31725
100071,5132449,Closed,currency 1,-1106,0,-740,-850,0,0,144000,0,0,0,Consumer credit,-593,31725
100071,5132450,Closed,currency 1,-1421,0,-1056,-973,0,0,143559,0,0,0,Consumer credit,-970,31725
100072,5892290,Closed,currency 1,-630,0,-1056,-119,0,0,252000,0,0,0,Consumer credit,-119,11250
100072,5892291,Closed,currency 1,-494,0,-314,-313,10368.495,0,62716.5,0,0,0,Consumer credit,-310,11250
100073,5490698,Active,currency 1,-524,0,1045,-313,10368.495,0,180000,165465,0,0,Credit card,-42,11250
100073,5490699,Closed,currency 1,-1788,0,-1468,-1468,10368.495,0,151983,165465,0,0,Consumer credit,-1459,11250
100073,5490700,Active,currency 1,-1015,0,-1468,-1468,54907.965,0,1575000,1149471,425528.64,0,Credit card,-39,11250
100073,5490701,Active,currency 1,-181,0,-1468,-1468,0,0,270000,222187.5,47810.79,0,Credit card,-25,11250
100075,5383475,Active,currency 1,-83,0,1013,-1468,0,0,112500,110259,0,0,Consumer credit,-39,11250
100076,5471413,Active,currency 1,-121,0,1013,-1468,0,0,1350000,1321393.5,0,0,Consumer credit,-20,61470
100076,5471414,Active,currency 1,-441,0,627,-1468,49170.24,0,1811057.58,1159215.705,0,0,Car loan,-10,61470
100076,5471415,Active,currency 1,-171,0,912,-1468,0,0,135000,130250.79,4749.21,0,Credit card,-10,61470
100077,5059219,Closed,currency 1,-778,0,-650,-649,0,0,225000,0,0,0,Credit card,-633,61470
100077,5059220,Closed,currency 1,-1186,0,-1002,-977,0,0,96228,0,0,0,Consumer credit,-721,61470
100077,5059222,Active,currency 1,-148,0,-1002,-977,0,0,270000,257926.5,12073.05,0,Credit card,-24,61470
100078,6460631,Closed,currency 1,-1308,0,519,-134,0,0,292500,0,0,0,Consumer credit,-125,54000
100078,6460632,Active,currency 1,-862,0,519,-134,0,0,540000,537165,2832.705,0,Credit card,-28,54000
100078,6520708,Closed,currency 1,-1338,0,489,-119,0,0,310500,0,0,0,Consumer credit,-85,54000
100079,6445631,Closed,currency 1,-553,0,-371,-357,0,0,60781.5,0,0,0,Consumer credit,-354,54000
100082,5479492,Closed,currency 1,-1448,0,-811,-806,0,0,90000,0,0,0,Credit card,-710,54000
100082,5479493,Closed,currency 1,-1017,0,-712,-775,0,0,90855,0,0,0,Consumer credit,-775,54000
100082,5479494,Closed,currency 1,-1079,0,-276,-105,0,0,360000,0,0,0,Credit card,-102,54000
100082,5479495,Closed,currency 1,-1175,0,-870,-992,0,0,59395.5,0,0,0,Consumer credit,-990,54000
100082,5479496,Closed,currency 1,-1791,0,35,-1543,0,0,900000,0,0,0,Consumer credit,-495,54000
100082,5479497,Active,currency 1,-1270,0,-198,-1543,0,0,135000,124573.5,0,0,Credit card,-47,54000
100082,5479498,Active,currency 1,-1479,0,2174,-1543,0,0,3600000,2188683,0,0,Mortgage,-47,54000
100082,5479499,Closed,currency 1,-2572,0,-1469,-1469,0,0,87750,0,0,0,Credit card,-749,54000
100082,5479500,Closed,currency 1,-2035,0,8930,-1517,1449,1,225000,0,0,0,Credit card,-1517,54000
100082,5479502,Closed,currency 1,-1404,0,9556,-779,31707,0,501750,0,0,0,Credit card,-779,54000
100082,5479503,Closed,currency 1,-601,0,1226,-360,0,0,1350000,0,0,0,Consumer credit,-360,54000
100082,5479504,Closed,currency 1,-592,0,10365,-456,0,0,481500,0,0,0,Credit card,-456,54000
100082,5479505,Active,currency 1,-361,0,1465,-456,0,0,1462500,0,0,0,Consumer credit,-88,54000
100082,5479506,Active,currency 1,-157,0,10802,-456,0,0,148500,0,0,0,Credit card,-80,54000
100082,5479491,Closed,currency 1,-799,0,-781,-775,0,0,380250,0,0,0,Consumer credit,-707,54000
