SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2218188,100008,Consumer loans,17885.835,162598.5,162598.5,0,162598.5,THURSDAY,10,Y,1,0,XAP,Approved,-370,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,110,Consumer electronics,10,low_normal,POS household with interest,365243,-339,-69,-69,-66,0
1757431,100008,Cash loans,17885.835,0,0,0,162598.5,FRIDAY,18,Y,1,0,XNA,Canceled,-82,XNA,XAP,Family,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,10,XNA,Cash,365243,-339,-69,-69,-66,0
1186888,100008,Consumer loans,8019.09,44455.5,39955.5,4500,44455.5,MONDAY,13,Y,1,0.110243032,XAP,Approved,-2536,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,50,Connectivity,6,low_normal,POS mobile with interest,365243,-2491,-2341,-2341,-2334,0
2613879,100008,Cash loans,25309.575,450000,501975,4500,450000,MONDAY,10,Y,1,0.110243032,XNA,Approved,-639,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Country-wide,110,Consumer electronics,30,middle,Cash X-Sell: middle,365243,-609,261,-399,-388,1
1907290,100008,Consumer loans,12144.285,121455,109309.5,12145.5,121455,MONDAY,9,Y,1,0.108909091,XAP,Approved,-2333,Cash through the bank,XAP,Unaccompanied,Repeater,Gardening,POS,XNA,Regional / Local,96,Consumer electronics,10,low_normal,POS household with interest,365243,-2299,-2029,-2029,-703,0
1413109,100009,Consumer loans,8996.76,98239.5,98239.5,0,98239.5,SATURDAY,18,Y,1,0,XAP,Approved,-449,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Regional / Local,164,Consumer electronics,12,low_action,POS household without interest,365243,-418,-88,-88,-84,0
2227125,100009,Consumer loans,8821.26,46876.5,44694,4689,46876.5,WEDNESDAY,13,Y,1,0.103411038,XAP,Approved,-305,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,18,Connectivity,6,high,POS mobile with interest,365243,-274,-124,-124,-119,0
2421381,100009,Consumer loans,7435.845,47160,39721.5,9432,47160,SUNDAY,11,Y,1,0.208984212,XAP,Approved,-826,Cash through the bank,XAP,Family,Repeater,Photo / Cinema Equipment,POS,XNA,Regional / Local,164,Consumer electronics,6,middle,POS household with interest,365243,-795,-645,-645,-636,0
2668005,100011,Cash loans,7435.845,0,0,9432,0,WEDNESDAY,9,Y,1,0.208984212,XNA,Refused,-1162,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,6,XNA,Cash,365243,-795,-645,-645,-636,0
1430602,100011,Consumer loans,14614.335,135931.5,134446.5,13594.5,135931.5,MONDAY,17,Y,1,0.100010446,XAP,Approved,-2508,Cash through the bank,XAP,Children,New,Computers,POS,XNA,Country-wide,1371,Consumer electronics,12,high,POS household with interest,365243,-2477,-2147,-2147,-1186,1
1843384,100011,Revolving loans,9000,0,180000,13594.5,135931.5,SATURDAY,10,Y,1,0.100010446,XAP,Approved,-2279,XNA,XAP,Children,Repeater,XNA,Cards,x-sell,Contact center,0,XNA,0,XNA,Card X-Sell,-2277,-2229,365243,-1257,365243,0
2243829,100012,Consumer loans,3012.075,18720,23697,0,18720,THURSDAY,9,Y,1,0,XAP,Approved,-1673,XNA,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,42,Connectivity,12,high,POS mobile with interest,365243,-1641,-1311,-1401,-1397,0
2164190,100012,Cash loans,11188.035,135000,158508,0,135000,FRIDAY,13,Y,1,0,XNA,Approved,-832,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,high,Cash X-Sell: high,365243,-802,-112,-142,-137,1
2480304,100012,Cash loans,9482.355,90000,114273,0,90000,MONDAY,15,Y,1,0,XNA,Approved,-507,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18,high,Cash X-Sell: high,365243,-477,33,-147,-144,1
1865796,100013,Consumer loans,6538.185,51030,47934,6750,51030,THURSDAY,12,Y,1,0.134433539,XAP,Approved,-1999,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,30,Connectivity,10,high,POS mobile with interest,365243,-1949,-1679,-1709,-1702,0
1222069,100013,Cash loans,6538.185,0,0,6750,51030,WEDNESDAY,16,Y,1,0.134433539,XNA,Canceled,-222,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,10,XNA,Cash,365243,-1949,-1679,-1709,-1702,0
1594297,100013,Cash loans,23153.985,450000,512370,6750,450000,SATURDAY,12,Y,1,0.134433539,XNA,Approved,-856,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36,middle,Cash X-Sell: middle,365243,-826,224,-346,-344,1
1108870,100013,Consumer loans,4742.415,22455,24232.5,0,22455,MONDAY,18,Y,1,0,XAP,Approved,-273,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Regional / Local,300,Consumer electronics,6,middle,POS household with interest,365243,-242,-92,-92,-85,0
1466167,100016,Consumer loans,6725.205,47115,42403.5,4711.5,47115,MONDAY,12,Y,1,0.108909091,XAP,Approved,-2370,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,200,Consumer electronics,8,high,POS household with interest,365243,-242,-92,-92,-85,0
1251047,100016,Consumer loans,14480.46,290250,232200,58050,290250,SATURDAY,14,Y,1,0.217818182,XAP,Approved,-1049,Cash through the bank,XAP,"Spouse, partner",Repeater,Clothing and Accessories,POS,XNA,Stone,150,Clothing,24,middle,POS industry with interest,365243,-1017,-327,-537,-530,0
2769249,100017,Consumer loans,16967.295,158040,152721,15804,158040,WEDNESDAY,15,Y,1,0.102133172,XAP,Approved,-2441,Cash through the bank,XAP,"Spouse, partner",New,Furniture,POS,XNA,Stone,408,Furniture,10,low_normal,POS industry without interest,365243,-2398,-2128,-2128,-2122,1
1562063,100017,Consumer loans,11783.52,195291,198409.5,22500,195291,FRIDAY,18,Y,1,0.110925721,XAP,Approved,-612,Cash through the bank,XAP,"Spouse, partner",Refreshed,Audio/Video,POS,XNA,Country-wide,2500,Consumer electronics,24,middle,POS household with interest,365243,-581,109,365243,365243,0
2073931,100018,Consumer loans,6832.89,48510,56196,0,48510,MONDAY,16,Y,1,0,XAP,Approved,-196,Cash through the bank,XAP,"Spouse, partner",XNA,Mobile,POS,XNA,Country-wide,30,Connectivity,12,high,POS mobile with interest,365243,-581,109,365243,365243,0
2704445,100018,Consumer loans,94906.035,536364,536364,0,536364,SATURDAY,14,Y,1,0,XAP,Approved,-989,Cash through the bank,XAP,Family,Repeater,Construction Materials,POS,XNA,Regional / Local,1200,Construction,6,low_normal,POS industry with interest,365243,-955,-805,-787,-784,0
1176822,100018,Consumer loans,48759.525,571774.5,514593,57181.5,571774.5,FRIDAY,16,Y,1,0.108916805,XAP,Approved,-1648,Cash through the bank,XAP,"Spouse, partner",New,Construction Materials,POS,XNA,Regional / Local,1200,Construction,12,low_normal,POS industry with interest,365243,-1613,-1283,-1283,-1275,0
1251951,100018,Consumer loans,4180.365,36805.365,36805.365,0,36805.365,TUESDAY,15,Y,1,0,XAP,Approved,-188,Cash through the bank,XAP,"Spouse, partner",Repeater,Mobile,POS,XNA,Country-wide,48,Connectivity,10,low_normal,POS mobile without interest,365243,-149,121,365243,365243,0
1620327,100019,Consumer loans,10518.615,84136.5,104683.5,0,84136.5,FRIDAY,10,Y,1,0,XAP,Approved,-925,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,1000,Consumer electronics,12,middle,POS household with interest,365243,-894,-564,-714,-705,0
2383711,100021,Consumer loans,4992.03,26100,27477,0,26100,SUNDAY,15,Y,1,0,XAP,Approved,-596,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Regional / Local,200,Consumer electronics,6,middle,POS household with interest,365243,-894,-564,-714,-705,0
1973524,100021,Consumer loans,2709.45,22428,13500,8928,22428,THURSDAY,16,Y,1,0.433538596,XAP,Approved,-2811,Cash through the bank,XAP,"Spouse, partner",New,Mobile,POS,XNA,Country-wide,39,Connectivity,6,low_normal,POS mobile with interest,365243,-2772,-2622,-2622,-2584,0
1213820,100021,Consumer loans,7424.865,71950.5,79546.5,0,71950.5,SATURDAY,15,Y,1,0,XAP,Approved,-261,Cash through the bank,XAP,"Spouse, partner",Repeater,Computers,POS,XNA,Country-wide,6000,Consumer electronics,12,low_normal,POS household with interest,365243,-230,100,365243,365243,0
2425547,100021,Consumer loans,10248.615,99189,98694,9922.5,99189,FRIDAY,19,Y,1,0.099492292,XAP,Approved,-850,Cash through the bank,XAP,Unaccompanied,Refreshed,Computers,POS,XNA,Country-wide,6000,Consumer electronics,12,middle,POS household with interest,365243,-819,-489,-669,-657,0
1485871,100021,Consumer loans,4992.03,26100,27477,0,26100,SUNDAY,15,Y,1,0,XAP,Approved,-596,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Regional / Local,200,Consumer electronics,6,middle,POS household with interest,365243,-565,-415,-505,-498,0
1319299,100022,Consumer loans,6765.975,89091,103203,0,89091,THURSDAY,18,Y,1,0,XAP,Approved,-239,Cash through the bank,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Stone,-1,Consumer electronics,18,low_normal,POS household with interest,365243,-209,301,365243,365243,1
2411919,100023,Consumer loans,7992,91282.5,93145.5,9000,91282.5,SATURDAY,10,Y,1,0.095959373,XAP,Approved,-1850,Cash through the bank,XAP,Other_B,Repeater,Consumer Electronics,POS,XNA,Stone,20,Consumer electronics,16,middle,POS household with interest,365243,-1819,-1369,-1429,-1422,0
1131053,100023,Consumer loans,8519.13,78705,76680,7870.5,78705,SATURDAY,10,Y,1,0.101379531,XAP,Approved,-2424,Cash through the bank,XAP,"Spouse, partner",Repeater,Consumer Electronics,POS,XNA,Country-wide,1500,Consumer electronics,10,low_normal,POS household without interest,365243,-2393,-2123,-2183,-2178,1
2454202,100023,Cash loans,16822.44,180000,239242.5,7870.5,180000,FRIDAY,9,Y,1,0.101379531,XNA,Approved,-262,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,24,high,Cash X-Sell: high,365243,-232,458,-142,-134,1
1271192,100025,Consumer loans,7159.545,58455,36810,23382,58455,SATURDAY,17,Y,1,0.42306492,XAP,Approved,-2060,XNA,XAP,"Spouse, partner",New,Consumer Electronics,POS,XNA,Country-wide,911,Consumer electronics,6,high,POS household without interest,365243,-2029,-1879,-1879,-1870,0
1724082,100025,Cash loans,55678.095,900000,1042560,23382,900000,MONDAY,14,Y,1,0.42306492,XNA,Approved,-63,Cash through the bank,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,low_normal,Cash X-Sell: low,365243,-2029,-1879,-1879,-1870,0
2023031,100025,Consumer loans,17682.975,95625,95625,0,95625,MONDAY,17,Y,1,0,XAP,Approved,-7,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,40,Furniture,6,middle,POS other with interest,365243,365243,176,365243,365243,0
1239349,100025,Cash loans,39798.99,452782.755,479679.255,0,452782.755,TUESDAY,11,Y,1,0,XNA,Approved,-888,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18,high,Cash Street: high,365243,-858,-348,-678,-664,1
1338206,100025,Consumer loans,25532.415,121500,137367,0,121500,MONDAY,15,Y,1,0,XAP,Approved,-7,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,20,Consumer electronics,6,middle,POS mobile with interest,365243,-858,-348,-678,-664,1
1252218,100026,Consumer loans,23608.485,132345,132345,0,132345,FRIDAY,12,Y,1,0,XAP,Approved,-1427,Cash through the bank,XAP,"Spouse, partner",New,Computers,POS,XNA,Country-wide,200,Consumer electronics,6,low_normal,POS household without interest,365243,-1396,-1246,-1246,-1243,0
1772508,100026,Cash loans,42778.845,675000,744498,0,675000,FRIDAY,7,Y,1,0,XNA,Approved,-468,Cash through the bank,XAP,"Spouse, partner",Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36,high,Cash X-Sell: high,365243,-438,612,-408,-377,1
1701107,100026,Cash loans,42778.845,0,0,0,675000,SATURDAY,6,Y,1,0,XNA,Canceled,-152,XNA,XAP,"Spouse, partner",Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,36,XNA,Cash,365243,-438,612,-408,-377,1
2531618,100027,Cash loans,22556.475,225000,239850,0,225000,SATURDAY,14,Y,1,0,XNA,Refused,-181,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),5,XNA,12,low_normal,Cash X-Sell: low,365243,-438,612,-408,-377,1
2447872,100027,Consumer loans,28077.57,226984.5,239467.5,0,226984.5,MONDAY,16,Y,1,0,XAP,Approved,-795,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Country-wide,2200,Consumer electronics,10,middle,POS household with interest,365243,-764,-494,-494,-488,0
1811514,100027,Cash loans,21569.22,202500,215865,0,202500,WEDNESDAY,13,Y,1,0,XNA,Approved,-471,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Country-wide,19,Connectivity,12,middle,Cash X-Sell: middle,365243,-441,-111,-111,-103,1
1914954,100028,Revolving loans,11250,0,225000,0,202500,THURSDAY,9,Y,1,0,XAP,Approved,-1490,XNA,XAP,Family,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0,XNA,Card X-Sell,-1323,-1274,365243,365243,365243,0
2056192,100028,Consumer loans,6996.735,65956.5,59521.5,11250,65956.5,THURSDAY,11,Y,1,0.173124389,XAP,Approved,-797,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,3500,Consumer electronics,10,middle,POS household with interest,365243,-766,-496,-646,-614,0
2691769,100030,Consumer loans,3140.46,33660,33660,0,33660,SATURDAY,7,Y,1,0,XAP,Refused,-2688,XNA,SCO,Unaccompanied,Repeater,XNA,POS,XNA,Stone,30,Furniture,12,low_normal,POS industry with interest,365243,-766,-496,-646,-614,0
2579186,100030,Consumer loans,3140.46,33660,33660,0,33660,FRIDAY,15,Y,1,0,XAP,Refused,-2689,XNA,SCO,Unaccompanied,Repeater,XNA,POS,XNA,Stone,30,Furniture,12,low_normal,POS industry with interest,365243,-766,-496,-646,-614,0
1929809,100030,Consumer loans,3140.46,33660,33660,0,33660,FRIDAY,15,Y,1,0,XAP,Refused,-2689,XNA,SCO,Unaccompanied,Repeater,XNA,POS,XNA,Stone,30,Furniture,12,low_normal,POS industry with interest,365243,-766,-496,-646,-614,0
2197792,100030,Consumer loans,3140.46,33250.5,33250.5,0,33250.5,WEDNESDAY,12,Y,1,0,XAP,Refused,-1788,Cash through the bank,LIMIT,Children,Refreshed,Mobile,XNA,XNA,Country-wide,50,Connectivity,12,XNA,POS mobile with interest,365243,-766,-496,-646,-614,0
2179840,100030,Consumer loans,9035.685,47241,49734,0,47241,SATURDAY,12,Y,1,0,XAP,Approved,-378,Cash through the bank,XAP,Children,Refreshed,Consumer Electronics,POS,XNA,Regional / Local,500,Consumer electronics,6,middle,POS household with interest,365243,-347,-197,-227,-223,0
1583574,100030,Consumer loans,9035.685,36720,36720,0,36720,FRIDAY,16,Y,1,0,XAP,Refused,-1849,Cash through the bank,LIMIT,Children,Refreshed,Mobile,XNA,XNA,Country-wide,50,Connectivity,6,XNA,POS mobile with interest,365243,-347,-197,-227,-223,0
1265862,100030,Consumer loans,2826.45,33660,30294,3366,33660,SATURDAY,7,Y,1,0.108909091,XAP,Refused,-2688,XNA,SCO,Unaccompanied,Repeater,XNA,POS,XNA,Stone,30,Furniture,12,low_normal,POS industry with interest,365243,-347,-197,-227,-223,0
1883850,100030,Consumer loans,6176.925,33660,30294,3366,33660,THURSDAY,10,Y,1,0.108909091,XAP,Refused,-2193,XNA,LIMIT,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,30,Furniture,6,high,POS industry with interest,365243,-347,-197,-227,-223,0
1625550,100030,Consumer loans,6176.925,21969.225,21969.225,0,21969.225,SATURDAY,13,Y,1,0,XAP,Refused,-840,Cash through the bank,LIMIT,Unaccompanied,Refreshed,Mobile,XNA,XNA,Country-wide,50,Connectivity,6,XNA,POS mobile with interest,365243,-347,-197,-227,-223,0
1514328,100032,Consumer loans,7910.145,69255,42255,27000,69255,SUNDAY,10,Y,1,0.424596846,XAP,Approved,-1497,Cash through the bank,XAP,"Spouse, partner",New,Audio/Video,POS,XNA,Regional / Local,246,Consumer electronics,6,middle,POS household with interest,365243,-1466,-1316,-1316,-1300,0
1187878,100034,Consumer loans,21281.13,121455,115083,12145.5,121455,MONDAY,19,Y,1,0.103966907,XAP,Approved,-288,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Regional / Local,126,Consumer electronics,6,middle,POS household with interest,365243,-257,-107,-167,-163,0
1339797,100035,Cash loans,21281.13,0,0,12145.5,121455,FRIDAY,14,Y,1,0.103966907,XNA,Refused,-138,XNA,HC,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,6,XNA,Cash,365243,-257,-107,-167,-163,0
2449573,100035,Consumer loans,6236.82,46935,45724.5,4693.5,46935,SUNDAY,14,Y,1,0.101385382,XAP,Approved,-1634,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,45,Connectivity,10,high,POS mobile with interest,365243,-1598,-1328,-1418,-1410,0
2425354,100035,Cash loans,18201.645,135000,163732.5,4693.5,135000,SATURDAY,12,Y,1,0.101385382,XNA,Approved,-1187,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12,high,Cash X-Sell: high,365243,-1157,-827,-827,-822,1
1219930,100035,Consumer loans,5413.365,25087.5,26329.5,0,25087.5,TUESDAY,15,Y,1,0,XAP,Approved,-2073,Cash through the bank,XAP,Unaccompanied,New,Homewares,POS,XNA,Country-wide,2390,Consumer electronics,6,high,POS household with interest,365243,-2042,-1892,-1892,-1879,0
2276677,100035,Cash loans,5413.365,0,0,0,25087.5,FRIDAY,11,Y,1,0,XNA,Canceled,-124,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,6,XNA,Cash,365243,-2042,-1892,-1892,-1879,0
1198431,100035,Consumer loans,12001.86,117000,107640,9360,117000,MONDAY,13,Y,1,0.087127273,XAP,Approved,-1759,Cash through the bank,XAP,Unaccompanied,Repeater,Clothing and Accessories,POS,XNA,Stone,50,Clothing,12,high,POS industry with interest,365243,-1728,-1398,-1398,-1396,0
2500673,100035,Cash loans,37279.665,540000,582768,9360,540000,WEDNESDAY,15,Y,1,0.087127273,XNA,Approved,-777,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,middle,Cash X-Sell: middle,365243,-747,-57,-627,-618,1
1297562,100035,Cash loans,37279.665,0,0,9360,540000,MONDAY,13,Y,1,0.087127273,XNA,Refused,-156,XNA,HC,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-747,-57,-627,-618,1
2274957,100035,Cash loans,37279.665,0,0,9360,540000,WEDNESDAY,13,Y,1,0.087127273,XNA,Canceled,-119,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-747,-57,-627,-618,1
1886236,100035,Cash loans,37279.665,0,0,9360,540000,THURSDAY,10,Y,1,0.087127273,XNA,Canceled,-125,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-747,-57,-627,-618,1
1344613,100035,Cash loans,33238.8,1260000,1260000,9360,1260000,WEDNESDAY,14,Y,1,0.087127273,Payments on other loans,Refused,-119,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60,low_action,Cash Street: low,365243,-747,-57,-627,-618,1
2019479,100035,Cash loans,33238.8,0,0,9360,1260000,THURSDAY,11,Y,1,0.087127273,XNA,Refused,-160,XNA,HC,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,60,XNA,Cash,365243,-747,-57,-627,-618,1
1905091,100035,Cash loans,16819.74,180000,239238,9360,180000,MONDAY,8,Y,1,0.087127273,XNA,Approved,-723,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,24,high,Cash X-Sell: high,365243,-693,-3,-633,-618,1
2375139,100035,Cash loans,16819.74,0,0,9360,180000,MONDAY,12,Y,1,0.087127273,XNA,Refused,-142,XNA,HC,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-693,-3,-633,-618,1
2694660,100035,Cash loans,16819.74,0,0,9360,180000,FRIDAY,11,Y,1,0.087127273,XNA,Canceled,-124,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-693,-3,-633,-618,1
1965432,100035,Cash loans,16819.74,0,0,9360,180000,FRIDAY,9,Y,1,0.087127273,XNA,Canceled,-124,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-693,-3,-633,-618,1
2430929,100036,Cash loans,16819.74,0,0,9360,180000,WEDNESDAY,9,Y,1,0.087127273,XNA,Canceled,-195,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,24,XNA,Cash,365243,-693,-3,-633,-618,1
1241855,100036,Consumer loans,8908.74,197752.5,197752.5,0,197752.5,SATURDAY,14,Y,1,0,XAP,Refused,-185,Cash through the bank,HC,Family,Repeater,Audio/Video,POS,XNA,Country-wide,2000,Consumer electronics,24,low_action,POS household without interest,365243,-693,-3,-633,-618,1
